Dummy ID,Date of Txn,Transaction type,Amount
214186426,12Jun2017,D,25100
189978484,12Jun2017,D,13026
144992380,12Jun2017,D,4250
135946588,12Jun2017,C,500000
126021112,12Jun2017,C,1600
124379248,12Jun2017,C,7300
119099968,12Jun2017,D,1000
119011984,12Jun2017,D,14500
99207718,12Jun2017,D,1675
97468210,12Jun2017,D,1900
95313118,12Jun2017,D,732
89761504,12Jun2017,C,275
87800716,12Jun2017,D,500
82824190,12Jun2017,D,240
81864922,12Jun2017,C,110000
49037644,12Jun2017,D,153
31765498,12Jun2017,C,2550000
30707692,12Jun2017,D,40000
25119586,12Jun2017,C,10000
166859818,13Jun2017,C,1873
156894976,13Jun2017,D,42415
152907046,13Jun2017,C,1086
129261976,13Jun2017,C,6400
128482822,13Jun2017,D,97270
120789502,13Jun2017,C,7500
114699310,13Jun2017,C,6000
104303182,13Jun2017,C,69300
78433276,13Jun2017,C,45942
78195892,13Jun2017,D,500
77934400,13Jun2017,D,50001
54432328,13Jun2017,D,19690
32181592,13Jun2017,C,80000
31286350,13Jun2017,D,10000000
30914512,13Jun2017,C,8424
29408842,13Jun2017,D,36670
26066098,13Jun2017,D,10000
214186426,14Jun2017,D,25100
211928890,14Jun2017,D,8793
186707128,14Jun2017,C,101000
166305964,14Jun2017,D,100
146588050,14Jun2017,C,250000
129282658,14Jun2017,D,4
126324556,14Jun2017,D,100
114175396,14Jun2017,C,1000
110497738,14Jun2017,D,6000
105623362,14Jun2017,C,4896
99597652,14Jun2017,C,7977
96930730,14Jun2017,C,21204
96698284,14Jun2017,D,880
92418058,14Jun2017,C,405000
86202706,14Jun2017,C,15000
79947850,14Jun2017,C,17100
78310018,14Jun2017,D,1000
66189484,14Jun2017,C,12128
66092158,14Jun2017,C,50000
57720454,14Jun2017,D,5732
53595298,14Jun2017,C,45160
35356438,14Jun2017,D,353
27534376,14Jun2017,D,20000
24103390,14Jun2017,C,51075
23471302,14Jun2017,D,500
22492612,14Jun2017,D,5000
157740520,15Jun2017,C,18725
132108016,15Jun2017,C,6008
122622742,15Jun2017,D,20000
112038082,15Jun2017,D,2277
111963196,15Jun2017,D,30000
104596474,15Jun2017,C,130000
96709630,15Jun2017,D,80000
92677708,15Jun2017,D,1500
92265316,15Jun2017,D,18000
86330050,15Jun2017,D,200
70984426,15Jun2017,D,2200
67571032,15Jun2017,C,30000
31085116,15Jun2017,D,1000
30610456,15Jun2017,D,18522
30533860,15Jun2017,D,16474
30339472,15Jun2017,C,351400
28549774,15Jun2017,D,35200
24743590,15Jun2017,D,1000
24535186,15Jun2017,C,5558
24460684,15Jun2017,D,1542
166876204,16Jun2017,C,2
156749578,16Jun2017,C,33726
149515036,16Jun2017,D,11400
146077798,16Jun2017,D,3000
136593784,16Jun2017,C,3000
135337948,16Jun2017,D,13915
118013656,16Jun2017,D,240818
103063474,16Jun2017,D,890
98337904,16Jun2017,C,3995
96628864,16Jun2017,D,18
90618370,16Jun2017,C,2234
76706596,16Jun2017,D,6500
76564258,16Jun2017,C,5500
58401178,16Jun2017,D,260
57567658,16Jun2017,C,12000
41736226,16Jun2017,C,36818
139830364,17Jun2017,D,3582
138817114,17Jun2017,D,1422
134308744,17Jun2017,D,2000
134149384,17Jun2017,C,2
128414074,17Jun2017,D,4000
124277278,17Jun2017,D,200
123143740,17Jun2017,D,640
105206854,17Jun2017,D,35942
102573676,17Jun2017,C,14058
101515522,17Jun2017,D,5000
100696198,17Jun2017,D,200000
91935316,17Jun2017,C,22670
84579544,17Jun2017,C,50000
82836496,17Jun2017,D,482
55650856,17Jun2017,D,20000
26588410,17Jun2017,D,10000
25535038,17Jun2017,D,10000
22497466,17Jun2017,D,31000
157360576,18Jun2017,D,235
153551350,18Jun2017,D,4000
142013224,18Jun2017,D,349
129825736,18Jun2017,D,300
100415926,18Jun2017,D,3096
30791974,18Jun2017,D,399
29028172,18Jun2017,D,130
22556728,18Jun2017,D,179
214186426,19Jun2017,D,20890
138152230,19Jun2017,C,7000
136772374,19Jun2017,D,1000
133812184,19Jun2017,D,8750
120509464,19Jun2017,D,41770
97731142,19Jun2017,C,3
86204548,19Jun2017,C,2576
72427570,19Jun2017,D,31708
56413300,19Jun2017,C,10000
38864530,19Jun2017,D,8
36316840,19Jun2017,D,285
24390610,19Jun2017,C,30000
23961910,19Jun2017,C,44275
23715508,19Jun2017,D,700
214186426,20Jun2017,D,24800
214186426,20Jun2017,D,21184
189979312,20Jun2017,D,863
149104222,20Jun2017,C,7200
149048908,20Jun2017,D,6000
146278246,20Jun2017,C,800000
145443712,20Jun2017,D,15000
142019218,20Jun2017,D,100000
139759138,20Jun2017,D,1000
127207072,20Jun2017,D,2500
123599566,20Jun2017,D,5000
118346572,20Jun2017,D,400000
117706228,20Jun2017,D,200
115890418,20Jun2017,C,2000
112719376,20Jun2017,D,10000
103198510,20Jun2017,D,11700
100627834,20Jun2017,C,12000
98796700,20Jun2017,D,4000
97163092,20Jun2017,C,29990
96052714,20Jun2017,C,10000
70058464,20Jun2017,D,500
69348976,20Jun2017,D,826
69282196,20Jun2017,D,67002
63854230,20Jun2017,C,1000
56636914,20Jun2017,D,606
54772768,20Jun2017,D,1990
48828226,20Jun2017,D,46430
42524218,20Jun2017,D,711
38820526,20Jun2017,C,1629
28044868,20Jun2017,D,659
23671204,20Jun2017,D,5823
189934162,21Jun2017,C,19640
148725028,21Jun2017,D,10000
133229590,21Jun2017,C,20000
129278698,21Jun2017,D,99
116988946,21Jun2017,D,69
113910484,21Jun2017,D,300000
111498010,21Jun2017,D,500
105783466,21Jun2017,C,5000
100950700,21Jun2017,D,19802
94710784,21Jun2017,D,2034
84850738,21Jun2017,D,5000
71948194,21Jun2017,C,2000000
70747588,21Jun2017,D,216
57003916,21Jun2017,D,50000
56767384,21Jun2017,C,1200
42995776,21Jun2017,C,17800
32087722,21Jun2017,D,7424
32002036,21Jun2017,D,565000
31496206,21Jun2017,C,153403
28583434,21Jun2017,D,370
26719432,21Jun2017,C,97229
24505882,21Jun2017,D,2500
24314350,21Jun2017,D,1000
228273640,22Jun2017,D,30000
189913132,22Jun2017,C,6834
189888478,22Jun2017,C,25608
156604282,22Jun2017,D,10000
153420412,22Jun2017,C,63066
149701768,22Jun2017,C,163389
149309680,22Jun2017,C,34000
127126090,22Jun2017,D,7800
127124476,22Jun2017,C,79000
113765866,22Jun2017,D,40000
94941736,22Jun2017,D,6700
93966670,22Jun2017,C,200000
72418204,22Jun2017,C,10000
70364050,22Jun2017,D,12519
68987260,22Jun2017,D,360200
68206114,22Jun2017,D,11600
67098004,22Jun2017,D,25000
57211510,22Jun2017,C,44556
41504476,22Jun2017,D,49250
30235666,22Jun2017,D,1500
30209026,22Jun2017,D,40000
28389526,22Jun2017,D,223
27834724,22Jun2017,D,14000
27170740,22Jun2017,C,390
25750576,22Jun2017,C,20000
23485360,22Jun2017,C,65000
22780642,22Jun2017,C,5000
214186426,23Jun2017,D,20890
214186426,23Jun2017,D,20700
208037020,23Jun2017,D,600
154787944,23Jun2017,C,1
152554870,23Jun2017,C,5136
131542438,23Jun2017,D,1050
102205966,23Jun2017,D,200000
77199952,23Jun2017,C,168097
66501418,23Jun2017,C,10000
31155490,23Jun2017,D,9700
30784174,23Jun2017,D,10000
29066392,23Jun2017,D,5360
26707906,23Jun2017,D,80000
138817714,24Jun2017,D,9600
112324816,24Jun2017,D,882
89917672,24Jun2017,D,200
78547468,24Jun2017,D,2000
42803626,24Jun2017,D,1866
152573422,25Jun2017,D,200
150742204,25Jun2017,D,1038
95583244,25Jun2017,D,10000
91720474,25Jun2017,D,7200
67358680,25Jun2017,D,1000
67085710,25Jun2017,D,500
66781924,25Jun2017,D,2000
55968346,25Jun2017,D,141
29626636,25Jun2017,D,10000
22763782,25Jun2017,D,919
145701880,26Jun2017,D,30000
104673064,26Jun2017,D,1000
101513326,26Jun2017,D,100
93335050,26Jun2017,C,50000
68136622,26Jun2017,D,150
67448062,26Jun2017,D,10000
63144676,26Jun2017,C,10000
61339858,26Jun2017,D,6000
39044530,26Jun2017,D,845
30736210,26Jun2017,D,10000
28899628,26Jun2017,D,1193
132537130,27Jun2017,D,200
131232562,27Jun2017,D,7769
107203798,27Jun2017,D,43835
104415892,27Jun2017,D,100000
85710334,27Jun2017,D,290000
84794830,27Jun2017,C,38719
84114250,27Jun2017,C,94
62629768,27Jun2017,D,23400
54768814,27Jun2017,D,10000
51958432,27Jun2017,D,48600
44981902,27Jun2017,D,14472
28628170,27Jun2017,C,1547
24309478,27Jun2017,D,130000
22953874,27Jun2017,D,5000
214186426,28Jun2017,D,24800
214186426,28Jun2017,D,25100
156612004,28Jun2017,D,1982
149489686,28Jun2017,C,7354
139933828,28Jun2017,D,500000
107900860,28Jun2017,D,100
107889778,28Jun2017,C,1600000
103212946,28Jun2017,D,6390
94020034,28Jun2017,C,2100
84794830,28Jun2017,C,14004
83704516,28Jun2017,D,1200
68943934,28Jun2017,D,183970
29045398,28Jun2017,C,1093675
28966114,28Jun2017,C,226
25982866,28Jun2017,C,20069
22512646,28Jun2017,C,39000
214186426,29Jun2017,D,20700
190017370,29Jun2017,C,92620
189969916,29Jun2017,C,615202
149183068,29Jun2017,C,1
147335518,29Jun2017,D,23109
136010206,29Jun2017,D,8000
132711460,29Jun2017,D,1050
127654840,29Jun2017,C,26774
126477940,29Jun2017,D,30000
103626610,29Jun2017,D,250
87863080,29Jun2017,D,200
87323866,29Jun2017,D,20
85640992,29Jun2017,C,20000
70921084,29Jun2017,D,200
63507370,29Jun2017,C,114096
42353668,29Jun2017,D,1010
31176712,29Jun2017,C,34637
29413642,29Jun2017,C,13000
25931284,29Jun2017,C,21168
24839554,29Jun2017,D,1349
24805318,29Jun2017,C,5
23011450,29Jun2017,D,50000
22519498,29Jun2017,C,100000
163146904,30Jun2017,D,885
144165040,30Jun2017,C,120885
130767682,30Jun2017,D,20
129922408,30Jun2017,D,10494
127408504,30Jun2017,C,20000
125710120,30Jun2017,C,563
118627540,30Jun2017,D,453442
112573396,30Jun2017,D,200
109640992,30Jun2017,D,58
108214534,30Jun2017,D,20296
104705494,30Jun2017,D,7000
101911900,30Jun2017,D,5000
96782230,30Jun2017,D,1000
92850532,30Jun2017,C,3000
73863622,30Jun2017,D,100
71331190,30Jun2017,C,67
67419514,30Jun2017,C,28436
56098792,30Jun2017,C,48032
51122344,30Jun2017,D,200
45084190,30Jun2017,D,1500
44761066,30Jun2017,D,90000
41251510,30Jun2017,D,410000
40523830,30Jun2017,D,2907
32237908,30Jun2017,D,200000
31631980,30Jun2017,C,13000
